"_id","_labels","amount","email","fraud","globalStep","id","name","phoneNumber","ssn","step","ts","_start","_end","_type"
"1142",":Email","","rollins01@yahoo.com","","","","","","","","",,,
"1145",":Email","","christian33@mail.com","","","","","","","","",,,
"1148",":Email","","xaviercurtis24@mail.com","","","","","","","","",,,
"1151",":Email","","mckee79@yahoo.com","","","","","","","","",,,
"1154",":Email","","serenity.ray74@gmail.com","","","","","","","","",,,
"1157",":Email","","pugh39@yahoo.com","","","","","","","","",,,
"319202",":Email","","jacksonpeck41@gmail.com","","","","","","","","",,,
"319205",":Email","","kevin.allen14@mail.com","","","","","","","","",,,
"319208",":Email","","tristanjohnson85@yahoo.com","","","","","","","","",,,
"319211",":Email","","juanbarry60@gmail.com","","","","","","","","",,,
"319214",":Email","","parkerrichmond88@yahoo.com","","","","","","","","",,,
"319217",":Email","","gabriella.neal68@gmail.com","","","","","","","","",,,
"326340",":Email","","good73@gmail.com","","","","","","","","",,,
"326343",":Email","","zoeygallagher67@gmail.com","","","","","","","","",,,
"326346",":Email","","parsons28@yahoo.com","","","","","","","","",,,
"326349",":Email","","alexadiaz31@yahoo.com","","","","","","","","",,,
"326352",":Email","","josedoyle72@yahoo.com","","","","","","","","",,,
"326355",":Email","","aaliyahlara52@yahoo.com","","","","","","","","",,,
"326358",":Email","","gabriella.gross81@mail.com","","","","","","","","",,,
"326361",":Email","","joseph.howell23@yahoo.com","","","","","","","","",,,
"326364",":Email","","knowles76@mail.com","","","","","","","","",,,
"326367",":Email","","howard22@mail.com","","","","","","","","",,,
"326370",":Email","","jace.hill34@yahoo.com","","","","","","","","",,,
"326373",":Email","","clairestephens69@gmail.com","","","","","","","","",,,
"326376",":Email","","jamesmills11@mail.com","","","","","","","","",,,
"326379",":Email","","averybooker47@gmail.com","","","","","","","","",,,
"326382",":Email","","owenwhitaker48@yahoo.com","","","","","","","","",,,
"326385",":Email","","julia.castaneda76@yahoo.com","","","","","","","","",,,
